?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/XPO_0135371>	"An increased occurrence of cell population proliferation in right lymph heart."	
<http://purl.obolibrary.org/obo/UBERON_0001007>	"Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes."	"BILA:0000082 MIAA:0000018 MAT:0000018 AAO:0000129 Wikipedia:Digestive_system galen:DigestiveSystem MESH:D004064 SCTID:278859004 ncithesaurus:Digestive_System MA:0002431 EFO:0000793 TAO:0000339 XAO:0000125 GAID:278 CALOHA:TS-1293 FMA:7152 TADS:0000170 FBbt:00005055 ZFA:0000339 WBbt:0005748 BTO:0000058"
<http://purl.obolibrary.org/obo/XPO_0125916>	"Absence of goblet cell."	
<http://purl.obolibrary.org/obo/GO_0032102>	"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to an external stimulus."	
<http://purl.obolibrary.org/obo/GO_0086027>	"Any process that mediates the transfer of information from an AV node cardiac muscle cell to a bundle of His cardiomyocyte."	
<http://purl.obolibrary.org/obo/XPO_0131923>	"An abnormal development of the ventral aorta."	
<http://purl.obolibrary.org/obo/XAO_0004159>	"Vein that drains the dorsal longitudinal vessel and the caudal portions of the venous capillary network of the medulla oblongata. The cerebral veins cross the head dorsally at NF stage 37-38. It drains into the vena capitis lateralis."	
<http://purl.obolibrary.org/obo/GO_0006141>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving purines."	
<http://purl.obolibrary.org/obo/XPO_0130272>	"An increase in the size of the presumptive paraxial mesoderm."	
<http://purl.obolibrary.org/obo/XPO_0132157>	"An abnormal development of the trunk somite 8."	
<http://purl.obolibrary.org/obo/XPO_0128290>	"An abnormal reduction in the size of the mandibular head muscle."	
<http://purl.obolibrary.org/obo/XPO_0138150>		
<http://purl.obolibrary.org/obo/XPO_0136413>	"An increased occurrence of cell population proliferation in blastomere D1.1.2."	
<http://purl.obolibrary.org/obo/XPO_0132657>	"An abnormal development of the late proximal tubule."	
<http://purl.obolibrary.org/obo/XPO_0126229>	"Absence of Jacobson's organ."	
<http://purl.obolibrary.org/obo/XPO_0136854>		
<http://purl.obolibrary.org/obo/XPO_0139918>	"An abnormally necrotic blastomere V1.1.1."	
<http://purl.obolibrary.org/obo/XPO_0137168>	"A decreased occurrence of apoptotic process in solid compound organ."	
<http://purl.obolibrary.org/obo/GO_1904933>	"Any process that modulates the frequency, rate or extent of cell proliferation in midbrain."	
<http://purl.obolibrary.org/obo/XPO_0136481>	"An increased occurrence of cell population proliferation in delta cell."	
<http://purl.obolibrary.org/obo/GO_1905311>	"Any process that stops, prevents or reduces the frequency, rate or extent of cardiac neural crest cell migration involved in outflow tract morphogenesis."	
<http://purl.obolibrary.org/obo/XPO_0133371>	"Any abnormal fusion of the eye and the olfactory pit."	
<http://purl.obolibrary.org/obo/XAO_0005184>	"An ascending neuron, originating in the spinal cord, that is involved in the touch sensory pathway and lies adjacent to the Rohon-Beard neurons and close to the roof plate of the spinal cord."	
<http://purl.obolibrary.org/obo/XPO_0140666>	"An abnormally necrotic occipitovertebral artery."	
<http://purl.obolibrary.org/obo/XPO_0125206>	"Absence of amputated tissue."	
<http://purl.obolibrary.org/obo/XPO_0130359>	"An increase in the size of the pylorus."	
