defined_class	anatomical_entity
http://purl.obolibrary.org/obo/XPO_0103372	http://purl.obolibrary.org/obo/XAO_0004231
http://purl.obolibrary.org/obo/XPO_0103373	http://purl.obolibrary.org/obo/XAO_0003193
http://purl.obolibrary.org/obo/XPO_0103374	http://purl.obolibrary.org/obo/XAO_0000033
http://purl.obolibrary.org/obo/XPO_0103375	http://purl.obolibrary.org/obo/XAO_0000295
http://purl.obolibrary.org/obo/XPO_0103376	http://purl.obolibrary.org/obo/XAO_0000179
http://purl.obolibrary.org/obo/XPO_0103377	http://purl.obolibrary.org/obo/XAO_0003030
http://purl.obolibrary.org/obo/XPO_0103378	http://purl.obolibrary.org/obo/XAO_0003065
http://purl.obolibrary.org/obo/XPO_0103379	http://purl.obolibrary.org/obo/XAO_0000336
http://purl.obolibrary.org/obo/XPO_0103380	http://purl.obolibrary.org/obo/XAO_0004392
http://purl.obolibrary.org/obo/XPO_0103381	http://purl.obolibrary.org/obo/XAO_0003024
http://purl.obolibrary.org/obo/XPO_0103382	http://purl.obolibrary.org/obo/XAO_0000064
http://purl.obolibrary.org/obo/XPO_0103383	http://purl.obolibrary.org/obo/XAO_0003031
http://purl.obolibrary.org/obo/XPO_0103384	http://purl.obolibrary.org/obo/XAO_0003066
http://purl.obolibrary.org/obo/XPO_0103385	http://purl.obolibrary.org/obo/XAO_0003191
http://purl.obolibrary.org/obo/XPO_0103386	http://purl.obolibrary.org/obo/XAO_0000315
http://purl.obolibrary.org/obo/XPO_0103387	http://purl.obolibrary.org/obo/XAO_0003204
http://purl.obolibrary.org/obo/XPO_0103388	http://purl.obolibrary.org/obo/XAO_0000136
http://purl.obolibrary.org/obo/XPO_0103389	http://purl.obolibrary.org/obo/XAO_0004185
http://purl.obolibrary.org/obo/XPO_0103390	http://purl.obolibrary.org/obo/XAO_0004105
http://purl.obolibrary.org/obo/XPO_0103391	http://purl.obolibrary.org/obo/XAO_0003192
http://purl.obolibrary.org/obo/XPO_0103392	http://purl.obolibrary.org/obo/XAO_0000058
http://purl.obolibrary.org/obo/XPO_0103393	http://purl.obolibrary.org/obo/XAO_0003143
http://purl.obolibrary.org/obo/XPO_0103394	http://purl.obolibrary.org/obo/XAO_0000314
http://purl.obolibrary.org/obo/XPO_0103395	http://purl.obolibrary.org/obo/XAO_0004140
http://purl.obolibrary.org/obo/XPO_0103711	http://purl.obolibrary.org/obo/XAO_0000125
http://purl.obolibrary.org/obo/XPO_0103712	http://purl.obolibrary.org/obo/XAO_0000092
http://purl.obolibrary.org/obo/XPO_0103713	http://purl.obolibrary.org/obo/XAO_0000010
http://purl.obolibrary.org/obo/XPO_0103714	http://purl.obolibrary.org/obo/XAO_0000099
http://purl.obolibrary.org/obo/XPO_0103715	http://purl.obolibrary.org/obo/XAO_0003180
http://purl.obolibrary.org/obo/XPO_0103716	http://purl.obolibrary.org/obo/XAO_0004359
http://purl.obolibrary.org/obo/XPO_0103717	http://purl.obolibrary.org/obo/XAO_0004360
http://purl.obolibrary.org/obo/XPO_0103718	http://purl.obolibrary.org/obo/XAO_0004361
http://purl.obolibrary.org/obo/XPO_0103719	http://purl.obolibrary.org/obo/XAO_0004362
http://purl.obolibrary.org/obo/XPO_0103720	http://purl.obolibrary.org/obo/XAO_0004219
http://purl.obolibrary.org/obo/XPO_0103721	http://purl.obolibrary.org/obo/XAO_0003059
http://purl.obolibrary.org/obo/XPO_0103722	http://purl.obolibrary.org/obo/XAO_0000072
http://purl.obolibrary.org/obo/XPO_0103723	http://purl.obolibrary.org/obo/XAO_0000236
http://purl.obolibrary.org/obo/XPO_0103724	http://purl.obolibrary.org/obo/XAO_0003229
http://purl.obolibrary.org/obo/XPO_0103725	http://purl.obolibrary.org/obo/XAO_0000227
http://purl.obolibrary.org/obo/XPO_0103726	http://purl.obolibrary.org/obo/XAO_0000002
http://purl.obolibrary.org/obo/XPO_0103727	http://purl.obolibrary.org/obo/XAO_0000232
http://purl.obolibrary.org/obo/XPO_0103728	http://purl.obolibrary.org/obo/XAO_0000011
http://purl.obolibrary.org/obo/XPO_0103729	http://purl.obolibrary.org/obo/XAO_0000015
http://purl.obolibrary.org/obo/XPO_0103730	http://purl.obolibrary.org/obo/XAO_0003177
http://purl.obolibrary.org/obo/XPO_0103731	http://purl.obolibrary.org/obo/XAO_0003269
http://purl.obolibrary.org/obo/XPO_0103732	http://purl.obolibrary.org/obo/XAO_0000097
http://purl.obolibrary.org/obo/XPO_0103733	http://purl.obolibrary.org/obo/XAO_0003085
http://purl.obolibrary.org/obo/XPO_0103734	http://purl.obolibrary.org/obo/XAO_0000014
http://purl.obolibrary.org/obo/XPO_0103735	http://purl.obolibrary.org/obo/XAO_0003029
http://purl.obolibrary.org/obo/XPO_0103736	http://purl.obolibrary.org/obo/XAO_0000172
http://purl.obolibrary.org/obo/XPO_0103737	http://purl.obolibrary.org/obo/XAO_0000055
http://purl.obolibrary.org/obo/XPO_0103738	http://purl.obolibrary.org/obo/XAO_0000096
http://purl.obolibrary.org/obo/XPO_0103739	http://purl.obolibrary.org/obo/XAO_0004261
http://purl.obolibrary.org/obo/XPO_0103740	http://purl.obolibrary.org/obo/XAO_0004518
http://purl.obolibrary.org/obo/XPO_0103741	http://purl.obolibrary.org/obo/XAO_0004402
http://purl.obolibrary.org/obo/XPO_0103742	http://purl.obolibrary.org/obo/XAO_0004106
http://purl.obolibrary.org/obo/XPO_0103743	http://purl.obolibrary.org/obo/XAO_0004107
http://purl.obolibrary.org/obo/XPO_0103744	http://purl.obolibrary.org/obo/XAO_0000020
http://purl.obolibrary.org/obo/XPO_0103745	http://purl.obolibrary.org/obo/XAO_0000128
http://purl.obolibrary.org/obo/XPO_0103746	http://purl.obolibrary.org/obo/XAO_0003026
http://purl.obolibrary.org/obo/XPO_0103747	http://purl.obolibrary.org/obo/XAO_0000087
http://purl.obolibrary.org/obo/XPO_0103748	http://purl.obolibrary.org/obo/XAO_0003213
http://purl.obolibrary.org/obo/XPO_0103749	http://purl.obolibrary.org/obo/XAO_0003025
http://purl.obolibrary.org/obo/XPO_0103750	http://purl.obolibrary.org/obo/XAO_0000054
http://purl.obolibrary.org/obo/XPO_0103751	http://purl.obolibrary.org/obo/XAO_0003004
http://purl.obolibrary.org/obo/XPO_0103752	http://purl.obolibrary.org/obo/XAO_0005202
http://purl.obolibrary.org/obo/XPO_0103753	http://purl.obolibrary.org/obo/XAO_0005254
http://purl.obolibrary.org/obo/XPO_0103754	http://purl.obolibrary.org/obo/XAO_0004300
http://purl.obolibrary.org/obo/XPO_0103755	http://purl.obolibrary.org/obo/XAO_0003036
http://purl.obolibrary.org/obo/XPO_0103756	http://purl.obolibrary.org/obo/XAO_0000111
http://purl.obolibrary.org/obo/XPO_0103757	http://purl.obolibrary.org/obo/XAO_0004299
http://purl.obolibrary.org/obo/XPO_0103758	http://purl.obolibrary.org/obo/XAO_0004307
http://purl.obolibrary.org/obo/XPO_0103759	http://purl.obolibrary.org/obo/XAO_0003035
http://purl.obolibrary.org/obo/XPO_0103763	http://purl.obolibrary.org/obo/XAO_0005216
http://purl.obolibrary.org/obo/XPO_0103764	http://purl.obolibrary.org/obo/XAO_0005222
http://purl.obolibrary.org/obo/XPO_0103765	http://purl.obolibrary.org/obo/XAO_0005218
http://purl.obolibrary.org/obo/XPO_0103766	http://purl.obolibrary.org/obo/XAO_0003228
http://purl.obolibrary.org/obo/XPO_0103768	http://purl.obolibrary.org/obo/XAO_0005224
http://purl.obolibrary.org/obo/XPO_0103770	http://purl.obolibrary.org/obo/XAO_0005260
http://purl.obolibrary.org/obo/XPO_0129483	http://purl.obolibrary.org/obo/XAO_0003040
http://purl.obolibrary.org/obo/XPO_0129484	http://purl.obolibrary.org/obo/XAO_0005002
http://purl.obolibrary.org/obo/XPO_0129485	http://purl.obolibrary.org/obo/XAO_0000281
http://purl.obolibrary.org/obo/XPO_0129486	http://purl.obolibrary.org/obo/XAO_0003012
http://purl.obolibrary.org/obo/XPO_0129487	http://purl.obolibrary.org/obo/XAO_0003000
http://purl.obolibrary.org/obo/XPO_0129488	http://purl.obolibrary.org/obo/XAO_0003037
http://purl.obolibrary.org/obo/XPO_0129489	http://purl.obolibrary.org/obo/XAO_0004190
http://purl.obolibrary.org/obo/XPO_0129490	http://purl.obolibrary.org/obo/XAO_0004473
http://purl.obolibrary.org/obo/XPO_0129491	http://purl.obolibrary.org/obo/XAO_0003042
