defined_class	anatomical_entity
http://purl.obolibrary.org/obo/XPO_0103235	http://purl.obolibrary.org/obo/XAO_0004105
http://purl.obolibrary.org/obo/XPO_0103236	http://purl.obolibrary.org/obo/XAO_0004219
http://purl.obolibrary.org/obo/XPO_0103237	http://purl.obolibrary.org/obo/XAO_0003149
http://purl.obolibrary.org/obo/XPO_0103238	http://purl.obolibrary.org/obo/XAO_0000307
http://purl.obolibrary.org/obo/XPO_0103266	http://purl.obolibrary.org/obo/XAO_0004121
http://purl.obolibrary.org/obo/XPO_0103267	http://purl.obolibrary.org/obo/XAO_0004265
http://purl.obolibrary.org/obo/XPO_0103268	http://purl.obolibrary.org/obo/XAO_0004231
http://purl.obolibrary.org/obo/XPO_0103269	http://purl.obolibrary.org/obo/XAO_0000208
http://purl.obolibrary.org/obo/XPO_0103270	http://purl.obolibrary.org/obo/XAO_0000010
http://purl.obolibrary.org/obo/XPO_0103271	http://purl.obolibrary.org/obo/XAO_0004013
http://purl.obolibrary.org/obo/XPO_0103272	http://purl.obolibrary.org/obo/XAO_0004022
http://purl.obolibrary.org/obo/XPO_0103273	http://purl.obolibrary.org/obo/XAO_0000033
http://purl.obolibrary.org/obo/XPO_0103274	http://purl.obolibrary.org/obo/XAO_0000215
http://purl.obolibrary.org/obo/XPO_0103275	http://purl.obolibrary.org/obo/XAO_0000179
http://purl.obolibrary.org/obo/XPO_0103276	http://purl.obolibrary.org/obo/XAO_0003214
http://purl.obolibrary.org/obo/XPO_0103277	http://purl.obolibrary.org/obo/XAO_0003030
http://purl.obolibrary.org/obo/XPO_0103278	http://purl.obolibrary.org/obo/XAO_0003065
http://purl.obolibrary.org/obo/XPO_0103279	http://purl.obolibrary.org/obo/XAO_0004478
http://purl.obolibrary.org/obo/XPO_0103280	http://purl.obolibrary.org/obo/XAO_0004479
http://purl.obolibrary.org/obo/XPO_0103281	http://purl.obolibrary.org/obo/XAO_0004480
http://purl.obolibrary.org/obo/XPO_0103282	http://purl.obolibrary.org/obo/XAO_0004481
http://purl.obolibrary.org/obo/XPO_0103283	http://purl.obolibrary.org/obo/XAO_0003061
http://purl.obolibrary.org/obo/XPO_0103284	http://purl.obolibrary.org/obo/XAO_0000135
http://purl.obolibrary.org/obo/XPO_0103285	http://purl.obolibrary.org/obo/XAO_0004299
http://purl.obolibrary.org/obo/XPO_0103286	http://purl.obolibrary.org/obo/XAO_0003024
http://purl.obolibrary.org/obo/XPO_0103287	http://purl.obolibrary.org/obo/XAO_0003031
http://purl.obolibrary.org/obo/XPO_0103288	http://purl.obolibrary.org/obo/XAO_0003066
http://purl.obolibrary.org/obo/XPO_0103289	http://purl.obolibrary.org/obo/XAO_0003035
http://purl.obolibrary.org/obo/XPO_0103290	http://purl.obolibrary.org/obo/XAO_0004412
http://purl.obolibrary.org/obo/XPO_0103291	http://purl.obolibrary.org/obo/XAO_0004413
http://purl.obolibrary.org/obo/XPO_0103292	http://purl.obolibrary.org/obo/XAO_0004414
http://purl.obolibrary.org/obo/XPO_0103293	http://purl.obolibrary.org/obo/XAO_0004415
http://purl.obolibrary.org/obo/XPO_0103294	http://purl.obolibrary.org/obo/XAO_0004296
http://purl.obolibrary.org/obo/XPO_0103295	http://purl.obolibrary.org/obo/XAO_0004298
http://purl.obolibrary.org/obo/XPO_0103296	http://purl.obolibrary.org/obo/XAO_0003228
http://purl.obolibrary.org/obo/XPO_0103297	http://purl.obolibrary.org/obo/XAO_0000192
http://purl.obolibrary.org/obo/XPO_0103298	http://purl.obolibrary.org/obo/XAO_0003266
http://purl.obolibrary.org/obo/XPO_0103299	http://purl.obolibrary.org/obo/XAO_0001002
