term,label,definition,exact_synonym
http://purl.obolibrary.org/obo/XPO_0100191,abnormal lens epithelium,Abnormality of lens epithelium.,abnormality of lens epithelium
http://purl.obolibrary.org/obo/XPO_0102699,abnormal morphology of myotome of tail somite 14 ,Any structural anomaly of the myotome of tail somite 14.,abnormal shape of myotome of tail somite 14
http://purl.obolibrary.org/obo/XPO_0102787,abnormal morphology of forelimb digit 5 ,Any structural anomaly of the forelimb digit 5.,abnormal shape of forelimb digit 5
http://purl.obolibrary.org/obo/XPO_0102875,abnormal morphology of vertebral artery ,Any structural anomaly of the vertebral artery.,abnormal shape of vertebral artery
http://purl.obolibrary.org/obo/XPO_0102963,abnormal morphology of retinal outer nuclear layer ,Any structural anomaly of the retinal outer nuclear layer.,abnormal shape of retinal outer nuclear layer
http://purl.obolibrary.org/obo/XPO_0100242,abnormal right lymph heart,Abnormality of right lymph heart.,abnormality of right lymph heart
http://purl.obolibrary.org/obo/XPO_0100330,abnormal tympanic annulus,Abnormality of tympanic annulus.,abnormality of tympanic annulus
http://purl.obolibrary.org/obo/XPO_0101071,abnormal endoplasmic reticulum,Abnormality of endoplasmic reticulum.,abnormality of endoplasmic reticulum
http://purl.obolibrary.org/obo/XPO_0102838,abnormal morphology of ischiadic vein ,Any structural anomaly of the ischiadic vein.,abnormal shape of ischiadic vein
http://purl.obolibrary.org/obo/XPO_0102926,abnormal morphology of branchial arch skeleton 2 ,Any structural anomaly of the branchial arch skeleton 2.,abnormal shape of branchial arch skeleton 2
http://purl.obolibrary.org/obo/XPO_0100117,abnormal aortic arch,Abnormality of aortic arch.,abnormality of aortic arch
http://purl.obolibrary.org/obo/XPO_0100205,abnormal limb segment,Abnormality of limb segment.,abnormality of limb segment
http://purl.obolibrary.org/obo/XPO_0103579,decreased length of trunk,Decreased length or shortening of the trunk.,short trunk
http://purl.obolibrary.org/obo/XPO_0103667,abnormally formed ventral trunk,An abnormally formed/malformed ventral trunk.,malformed ventral trunk
http://purl.obolibrary.org/obo/XPO_0103755,increased size of the forelimb digit,An increase in the size of the forelimb digit.,enlarged forelimb digit
http://purl.obolibrary.org/obo/XPO_0103843,Abnormally localised head,An abnormally localised head.,abnormal position of head
http://purl.obolibrary.org/obo/XPO_0101034,abnormal caudal fin skeleton,Abnormality of caudal fin skeleton.,abnormality of caudal fin skeleton
http://purl.obolibrary.org/obo/XPO_0101122,abnormal middle cerebral vein,Abnormality of middle cerebral vein.,abnormality of middle cerebral vein
http://purl.obolibrary.org/obo/XPO_0101210,abnormal aortic arch 2,Abnormality of aortic arch 2.,abnormality of aortic arch 2
http://purl.obolibrary.org/obo/XPO_0103718,increased size of the ceratobranchial III,An increase in the size of the ceratobranchial III.,enlarged ceratobranchial III
http://purl.obolibrary.org/obo/XPO_0102002,abnormal morphology of m. levator mandibulae longus internus primordium ,Any structural anomaly of the m. levator mandibulae longus internus primordium.,abnormal shape of m. levator mandibulae longus internus primordium
http://purl.obolibrary.org/obo/XPO_0100795,abnormal posterior wall of neurenteric canal,Abnormality of posterior wall of neurenteric canal.,abnormality of posterior wall of neurenteric canal
http://purl.obolibrary.org/obo/XPO_0100883,abnormal acellular bone tissue,Abnormality of acellular bone tissue.,abnormality of acellular bone tissue
http://purl.obolibrary.org/obo/XPO_0107262,abnormal left-right axis,Abnormality of left-right axis.,abnormality of left-right axis
http://purl.obolibrary.org/obo/XPO_0100971,abnormal prethalamus basal plate,Abnormality of prethalamus basal plate.,abnormality of prethalamus basal plate
http://purl.obolibrary.org/obo/XPO_0107350,abnormal morphology of anatomical side ,Any structural anomaly of the anatomical side.,abnormal shape of anatomical side
http://purl.obolibrary.org/obo/XPO_0100758,abnormal tail bud,Abnormality of tail bud.,abnormality of tail bud
http://purl.obolibrary.org/obo/XPO_0100846,abnormal hindlimb,Abnormality of hindlimb.,abnormality of hindlimb
http://purl.obolibrary.org/obo/XPO_0100934,abnormal claw primordium,Abnormality of claw primordium.,abnormality of claw primordium
http://purl.obolibrary.org/obo/XPO_0107313,abnormal left eye,Abnormality of left eye.,abnormality of left eye
http://purl.obolibrary.org/obo/XPO_0107401,abnormal morphology of right eye ,Any structural anomaly of the right eye.,abnormal shape of right eye
http://purl.obolibrary.org/obo/XPO_0101499,abnormal anterior-proximal mesenchyme,Abnormality of anterior-proximal mesenchyme.,abnormality of anterior-proximal mesenchyme
http://purl.obolibrary.org/obo/XPO_0101587,abnormal hemangioblast,Abnormality of hemangioblast.,abnormality of hemangioblast
http://purl.obolibrary.org/obo/XPO_0101675,abnormal morphology of vein ,Any structural anomaly of the vein.,abnormal shape of vein
http://purl.obolibrary.org/obo/XPO_0101851,abnormal morphology of basal ganglion ,Any structural anomaly of the basal ganglion.,abnormal shape of basal ganglion
http://purl.obolibrary.org/obo/XPO_0100809,abnormal retinal inner plexiform layer,Abnormality of retinal inner plexiform layer.,abnormality of retinal inner plexiform layer
http://purl.obolibrary.org/obo/XPO_0102592,abnormal morphology of postmigratory neural crest cell ,Any structural anomaly of the postmigratory neural crest cell.,abnormal shape of postmigratory neural crest cell
http://purl.obolibrary.org/obo/XPO_0101638,abnormal morphology of anatomical structure ,Any structural anomaly of the anatomical structure.,abnormal shape of anatomical structure
http://purl.obolibrary.org/obo/XPO_0101814,abnormal morphology of hindlimb bud ,Any structural anomaly of the hindlimb bud.,abnormal shape of hindlimb bud
http://purl.obolibrary.org/obo/XPO_0101902,abnormal morphology of mesonephric tubule ,Any structural anomaly of the mesonephric tubule.,abnormal shape of mesonephric tubule
http://purl.obolibrary.org/obo/XPO_0102379,abnormal morphology of basilar papilla ,Any structural anomaly of the basilar papilla.,abnormal shape of basilar papilla
http://purl.obolibrary.org/obo/XPO_0102467,abnormal morphology of pronephric tubule ,Any structural anomaly of the pronephric tubule.,abnormal shape of pronephric tubule
http://purl.obolibrary.org/obo/XPO_0102555,abnormal morphology of granule cell layer of the cerebellum ,Any structural anomaly of the granule cell layer of the cerebellum.,abnormal shape of granule cell layer of the cerebellum
http://purl.obolibrary.org/obo/XPO_0102643,abnormal morphology of facial epibranchial placode ,Any structural anomaly of the facial epibranchial placode.,abnormal shape of facial epibranchial placode
http://purl.obolibrary.org/obo/XPO_0102731,abnormal morphology of ventro-lateral marginal zone ,Any structural anomaly of the ventro-lateral marginal zone.,abnormal shape of ventro-lateral marginal zone
http://purl.obolibrary.org/obo/XPO_0100010,abnormal multicellular anatomical structure,Abnormality of multicellular anatomical structure.,abnormality of multicellular anatomical structure
http://purl.obolibrary.org/obo/XPO_0103296,absent hypaxial muscle,Absence of hypaxial muscle.,missing hypaxial muscle
http://purl.obolibrary.org/obo/XPO_0103384,increased size of the hindlimb bud,An increase in the size of the hindlimb bud.,enlarged hindlimb bud
http://purl.obolibrary.org/obo/XPO_0103560,decreased length of anterior neural fold,Decreased length or shortening of the anterior neural fold.,short anterior neural fold
http://purl.obolibrary.org/obo/XPO_0102518,abnormal morphology of myotome of tail somite 18 ,Any structural anomaly of the myotome of tail somite 18.,abnormal shape of myotome of tail somite 18
http://purl.obolibrary.org/obo/XPO_0102606,abnormal morphology of cardiac mesoderm ,Any structural anomaly of the cardiac mesoderm.,abnormal shape of cardiac mesoderm
http://purl.obolibrary.org/obo/XPO_0103347,decreased size of the hyoid arch skeleton,An abnormal reduction in the size of the hyoid arch skeleton.,abnormally small hyoid arch skeleton
http://purl.obolibrary.org/obo/XPO_0103435,decreased size of the head mesenchyme,An abnormal reduction in the size of the head mesenchyme.,abnormally small head mesenchyme
http://purl.obolibrary.org/obo/XPO_0103611,abnormal number of forelimb digits,Any structural anomaly that causes there to be an abnormal number forelimb digit.,abnormal number of forelimb digits
http://purl.obolibrary.org/obo/XPO_0103611,abnormal number of forelimb digits,Any structural anomaly that causes there to be an abnormal number forelimb digit.,altered number of forelimb digits
http://purl.obolibrary.org/obo/XPO_0100387,abnormal viscus,Abnormality of viscus.,abnormality of viscus
http://purl.obolibrary.org/obo/XPO_0115785,abnormal duplication of hindlimb digit 5 ,Any abnormal duplication of the hindlimb digit 5.,abnormally duplicated hindlimb digit 5
http://purl.obolibrary.org/obo/XPO_0100475,abnormal anteroventral tegmental nucleus,Abnormality of anteroventral tegmental nucleus.,abnormality of anteroventral tegmental nucleus
http://purl.obolibrary.org/obo/XPO_0100563,abnormal animal cap,Abnormality of animal cap.,abnormality of animal cap
http://purl.obolibrary.org/obo/XPO_0100651,abnormal rhombomere R4,Abnormality of rhombomere R4.,abnormality of rhombomere R4
http://purl.obolibrary.org/obo/XPO_0101392,abnormal sinus venosus,Abnormality of sinus venosus.,abnormality of sinus venosus
