defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103372		XAO:0004231	barbel
http://purl.obolibrary.org/obo/XPO_0103373		XAO:0003193	cardiac ventricle
http://purl.obolibrary.org/obo/XPO_0103374		XAO:0000033	cement gland
http://purl.obolibrary.org/obo/XPO_0103375		XAO:0000295	central endoderm
http://purl.obolibrary.org/obo/XPO_0103376		XAO:0000179	eye
http://purl.obolibrary.org/obo/XPO_0103377		XAO:0003030	forelimb
http://purl.obolibrary.org/obo/XPO_0103378		XAO:0003065	forelimb bud
http://purl.obolibrary.org/obo/XPO_0103379		XAO:0000336	fused heart primordium
http://purl.obolibrary.org/obo/XPO_0103380		XAO:0004392	goblet cell
http://purl.obolibrary.org/obo/XPO_0103381		XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0103382		XAO:0000064	heart
http://purl.obolibrary.org/obo/XPO_0103383		XAO:0003031	hindlimb
http://purl.obolibrary.org/obo/XPO_0103384		XAO:0003066	hindlimb bud
http://purl.obolibrary.org/obo/XPO_0103385		XAO:0003191	left atrium
http://purl.obolibrary.org/obo/XPO_0103386		XAO:0000315	myotome
http://purl.obolibrary.org/obo/XPO_0103387		XAO:0003204	neural tube
http://purl.obolibrary.org/obo/XPO_0103388		XAO:0000136	pancreas
http://purl.obolibrary.org/obo/XPO_0103389		XAO:0004185	primary heart field
http://purl.obolibrary.org/obo/XPO_0103390		XAO:0004105	pronephric tubule
http://purl.obolibrary.org/obo/XPO_0103391		XAO:0003192	right atrium
http://purl.obolibrary.org/obo/XPO_0103392		XAO:0000058	somite
http://purl.obolibrary.org/obo/XPO_0103393		XAO:0003143	tail somite
http://purl.obolibrary.org/obo/XPO_0103394		XAO:0000314	trunk somite
http://purl.obolibrary.org/obo/XPO_0103395		XAO:0004140	ventricular outflow tract
http://purl.obolibrary.org/obo/XPO_0103711		XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0103712		XAO:0000092	archenteron
http://purl.obolibrary.org/obo/XPO_0103713		XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0103714		XAO:0000099	branchial arch
http://purl.obolibrary.org/obo/XPO_0103715		XAO:0003180	branchial arch skeleton
http://purl.obolibrary.org/obo/XPO_0103716		XAO:0004359	ceratobranchial I
http://purl.obolibrary.org/obo/XPO_0103717		XAO:0004360	ceratobranchial II
http://purl.obolibrary.org/obo/XPO_0103718		XAO:0004361	ceratobranchial III
http://purl.obolibrary.org/obo/XPO_0103719		XAO:0004362	ceratobranchial IV
http://purl.obolibrary.org/obo/XPO_0103720		XAO:0004219	ceratohyal
http://purl.obolibrary.org/obo/XPO_0103721		XAO:0003059	chondrocranium
http://purl.obolibrary.org/obo/XPO_0103722		XAO:0000072	dorsal marginal zone
http://purl.obolibrary.org/obo/XPO_0103723		XAO:0000236	duodenum
http://purl.obolibrary.org/obo/XPO_0103724		XAO:0003229	epaxial muscle
http://purl.obolibrary.org/obo/XPO_0103725		XAO:0000227	eye primordium
http://purl.obolibrary.org/obo/XPO_0103726		XAO:0000002	fin
http://purl.obolibrary.org/obo/XPO_0103727		XAO:0000232	foregut
http://purl.obolibrary.org/obo/XPO_0103728		XAO:0000011	forebrain
http://purl.obolibrary.org/obo/XPO_0103729		XAO:0000015	hindbrain
http://purl.obolibrary.org/obo/XPO_0103730		XAO:0003177	hyoid arch skeleton
http://purl.obolibrary.org/obo/XPO_0103731		XAO:0003269	jaw muscle
http://purl.obolibrary.org/obo/XPO_0103732		XAO:0000097	mandibular arch
http://purl.obolibrary.org/obo/XPO_0103733		XAO:0003085	Meckel's cartilage
http://purl.obolibrary.org/obo/XPO_0103734		XAO:0000014	midbrain
http://purl.obolibrary.org/obo/XPO_0103735		XAO:0003029	mouth
http://purl.obolibrary.org/obo/XPO_0103736		XAO:0000172	muscle
http://purl.obolibrary.org/obo/XPO_0103737		XAO:0000055	notochord
http://purl.obolibrary.org/obo/XPO_0103738		XAO:0000096	pharyngeal arch
http://purl.obolibrary.org/obo/XPO_0103739		XAO:0004261	pharyngeal region
http://purl.obolibrary.org/obo/XPO_0103740		XAO:0004518	proximal tubule
http://purl.obolibrary.org/obo/XPO_0103741		XAO:0004402	pseudoblastema
http://purl.obolibrary.org/obo/XPO_0103742		XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103743		XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103744		XAO:0000020	spinal cord
http://purl.obolibrary.org/obo/XPO_0103745		XAO:0000128	stomach
