defined_class	defined_class_name	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0141273	decreased swimming behavior	GO:0036269	swimming behavior
http://purl.obolibrary.org/obo/XPO_0141274	decreased locomotory behavior	GO:0007626	locomotory behavior
http://purl.obolibrary.org/obo/XPO_0141275	decreased feeding behavior	GO:0007631	feeding behavior
http://purl.obolibrary.org/obo/XPO_0141276	decreased surface breathing	NBO:0040004	surface breathing
	decreased cellular response to oxidative stress	GO:0034599	cellular response to oxidative stress
	decreased ribosome biogenesis	GO:0042254	ribosome biogenesis
	decreased T cell mediated immunity	GO:0002456	T cell mediated immunity
	decreased B cell mediated immunity	GO:0019724	B cell mediated immunity
	decreased mitochondrial DNA metabolic process	GO:0032042	mitochondrial DNA metabolic process
	decreased dendrite arborization	GO:0140059	dendrite arborization
	decreased plasminogen activation	GO:0031639	plasminogen activation
	decreased cytokine-mediated signaling pathway	GO:0019221	cytokine-mediated signaling pathway
	decreased response to corticotropin-releasing hormone	GO:0043435	response to corticotropin-releasing hormone
	decreased regulation of Ras protein signal transduction	GO:0046578	regulation of Ras protein signal transduction
	decreased signal transduction by p53 class mediator	GO:0072331	signal transduction by p53 class mediator
