defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103611	abnormal number of forelimb digits	XAO:0003036	forelimb digit
http://purl.obolibrary.org/obo/XPO_0103612	abnormal number of metacarpal bones	XAO:0003208	metacarpus
http://purl.obolibrary.org/obo/XPO_0103613	abnormal number of hindlimb digits	XAO:0003035	hindlimb digit
http://purl.obolibrary.org/obo/XPO_0103614	abnormal number of hindlimb digit 1	XAO:0004239	hindlimb digit 1
http://purl.obolibrary.org/obo/XPO_0103615	abnormal number of hindlimb digit 2	XAO:0004412	hindlimb digit 2
http://purl.obolibrary.org/obo/XPO_0103616	abnormal number of hindlimb digit 3	XAO:0004413	hindlimb digit 3
http://purl.obolibrary.org/obo/XPO_0103617	abnormal number of hindlimb digit 4	XAO:0004414	hindlimb digit 4
http://purl.obolibrary.org/obo/XPO_0103618	abnormal number of hindlimb digit 5	XAO:0004415	hindlimb digit 5
http://purl.obolibrary.org/obo/XPO_0103619	abnormal number of forelimb digit 2	XAO:0004478	forelimb digit 2
http://purl.obolibrary.org/obo/XPO_0103620	abnormal number of forelimb digit 3	XAO:0004479	forelimb digit 3
http://purl.obolibrary.org/obo/XPO_0103621	abnormal number of forelimb digit 4	XAO:0004480	forelimb digit 4
http://purl.obolibrary.org/obo/XPO_0103622	abnormal number of forelimb digit 5	XAO:0004481	forelimb digit 5
