defined_class	defined_class_name	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/XPO_0131695		GO:0004707	MAP kinase activity
http://purl.obolibrary.org/obo/XPO_0133389		GO:0004711	ribosomal protein S6 kinase activity
http://purl.obolibrary.org/obo/XPO_0133390		GO:0004197	cysteine-type endopeptidase activity
http://purl.obolibrary.org/obo/XPO_0141799		GO:0003824	catalytic activity
http://purl.obolibrary.org/obo/XPO_0141800		GO:0009975	cyclase activity
http://purl.obolibrary.org/obo/XPO_0141801		GO:0016491	oxidoreductase activity
http://purl.obolibrary.org/obo/XPO_0141802		GO:0016740	transferase activity
http://purl.obolibrary.org/obo/XPO_0141803		GO:0016787	hydrolase activity
http://purl.obolibrary.org/obo/XPO_0141804		GO:0016829	lyase activity
http://purl.obolibrary.org/obo/XPO_0141805		GO:0016853	isomerase activity
http://purl.obolibrary.org/obo/XPO_0141806		GO:0016874	ligase activity
http://purl.obolibrary.org/obo/XPO_0141807		GO:0032451	demethylase activity
http://purl.obolibrary.org/obo/XPO_0141808		GO:0061783	peptidoglycan muralytic activity
http://purl.obolibrary.org/obo/XPO_0142870		GO:0008139	nuclear localization sequence binding
