defined_class	defined_class_name	cellular_component	cellular_component_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0133488		XAO:0005008	cilium	XAO:0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0133489		XAO:0005008	cilium	XAO:0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0133490		XAO:0005008	cilium	XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0133491		XAO:0005008	cilium	XAO:0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0133492		XAO:0005008	cilium	XAO:0002000	pronephric kidney
http://purl.obolibrary.org/obo/XPO_0133493		XAO:0005008	cilium	XAO:0000062	pronephric nephrostome
http://purl.obolibrary.org/obo/XPO_0133494		XAO:0005008	cilium	XAO:0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0133495		XAO:0005008	cilium	XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0133496		XAO:0005008	cilium	XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0133497		XAO:0005008	cilium	XAO:0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0133498		XAO:0005008	cilium	XAO:0005017	ciliated cell
http://purl.obolibrary.org/obo/XPO_0133499		XAO:0005008	cilium	XAO:0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0133500		XAO:0005008	cilium	XAO:0005139	multiciliated cell
http://purl.obolibrary.org/obo/XPO_0133501		XAO:0005008	cilium	XAO:0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133502		XAO:0005008	cilium	XAO:0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0133503		XAO:0005008	cilium	XAO:0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133504		XAO:0005008	cilium	XAO:0005179	multiciliated epidermal cell
