Entity ID,Quality ID,Quality Name
XAO:0003004,PATO:0000620,wholly dorsalized
XAO:0003004,PATO:0000620,wholly dorsalized
XAO:0003004,PATO:0000620,wholly dorsalized
XAO:0003024,PATO:0005013,incomplete structure
XAO:0003026,PATO:0005013,incomplete structure
XAO:0004087,PATO:0000609,closure incomplete
XAO:0003024,PATO:0005013,incomplete structure
XAO:0003026,PATO:0005013,incomplete structure
XAO:0004087,PATO:0000609,closure incomplete
XAO:0003024,PATO:0005013,incomplete structure
XAO:0003026,PATO:0005013,incomplete structure
XAO:0004087,PATO:0000609,closure incomplete
XAO:0000208^RO:0000086(GO:0032502),PATO:0001511,non-functional
XAO:0000208^RO:0000086(GO:0032502),PATO:0001511,non-functional
XAO:0000208^RO:0000086(GO:0032502),PATO:0001511,non-functional
XAO:0000208^RO:0000086(GO:0032502),PATO:0001511,non-functional
XAO:0000208,PATO:0002135,delayed closure
XAO:0000208,PATO:0002135,delayed closure
XAO:0000208,PATO:0002135,delayed closure
XAO:0003025^RO:0002221(XAO:0000015),PATO:0000617,bent
XAO:0003025^RO:0002221(XAO:0000015),PATO:0000617,bent
XAO:0003026,PATO:0000617,bent
XAO:0003026,PATO:0000617,bent
XAO:0003004^BFO_XB:0000051(BSPO:0000079)^RO:0000086(GO:0032502),PATO:0001624,decreased functionality
XAO:0003004^BFO_XB:0000051(BSPO:0000084)^RO:0000086(GO:0032502),PATO:0001624,decreased functionality
XAO:0003004^RO:0000086(GO:0032502),PATO:0000297,arrested
XAO:0003026,PATO:0000587,decreased size
XAO:0003004,PATO:0000615,wholly anterioralized
XAO:0003024,PATO:0000586,increased size
XAO:0003024,PATO:0000586,increased size
XAO:0003026,PATO:0000587,decreased size
XAO:0003026,PATO:0001469,curved ventral
XAO:0003025,PATO:0001468,curved dorsal
XAO:0003024,PATO:0000586,increased size
XAO:0003026,PATO:0000587,decreased size
XAO:0003026,PATO:0001469,curved ventral
XAO:0003024,PATO:0000586,increased size
XAO:0003026,PATO:0000587,decreased size
XAO:0003024,PATO:0000586,increased size
XAO:0003026,PATO:0000587,decreased size
XAO:0003026,PATO:0000587,decreased size
XAO:0003004^BFO_XB:0000051(BSPO:0000079)^RO:0000086(GO:0032502),PATO:0001624,decreased functionality
XAO:0003004^BFO_XB:0000051(BSPO:0000084)^RO:0000086(GO:0032502),PATO:0001624,decreased functionality
XAO:0004107,PATO:0000460,abnormal
XAO:0004107^BFO_XB:0000050(XAO:0004013),PATO:0000460,abnormal
XAO:0004107^BFO_XB:0000050(XAO:0004265),PATO:0000462,absent
XAO:0004489,PATO:0000467,present
XAO:0003024,PATO:0000587,decreased size
XAO:0000208,PATO:0000609,closure incomplete
XAO:0003025,PATO:0000574,decreased length
XAO:0003026,PATO:0000587,decreased size
XAO:0003026,PATO:0000587,decreased size
XAO:0003031^BFO_XB:0000050(XAO:0004013),PATO:0000470,increased amount
XAO:0003031^BFO_XB:0000050(XAO:0004265),PATO:0000460,abnormal
XAO:0003031^BFO_XB:0000050(XAO:0004265),PATO:0000470,increased amount
XAO:0003066,PATO:0000460,abnormal
XAO:0004265,PATO:0000462,absent
XAO:0004296,PATO:0000462,absent
XAO:0004298,PATO:0000462,absent
XAO:0003066,PATO:0002019,aplastic growth
XAO:0003031^BFO_XB:0000050(XAO:0000172),PATO:0000461,normal
XAO:0004297,PATO:0000574,decreased length
XAO:0003030,PATO:0000574,decreased length
XAO:0003031,PATO:0000574,decreased length
XAO:0003031^BFO_XB:0000050(XAO:0004263),PATO:0000461,normal
XAO:0003031^BFO_XB:0000050(XAO:0004264),PATO:0000461,normal
XAO:0003031^BFO_XB:0000050(XAO:0004265),PATO:0000461,normal
XAO:0004295,PATO:0000574,decreased length
XAO:0003031,PATO:0000763,paralysed
XAO:0003031^BFO_XB:0000050(XAO:0000169),PATO:0000461,normal
XAO:0003031^BFO_XB:0000050(XAO:0000170),PATO:0000461,normal
XAO:0003030,PATO:0000460,abnormal
XAO:0003030,PATO:0000460,abnormal
XAO:0003030,PATO:0000460,abnormal
XAO:0003030,PATO:0000763,paralysed
XAO:0003031,PATO:0000460,abnormal
XAO:0003031^BFO_XB:0000050(XAO:0004265),PATO:0000460,abnormal
XAO:0003035,PATO:0000462,absent
XAO:0004296,PATO:0000460,abnormal
XAO:0004297,PATO:0000574,decreased length
XAO:0004298,PATO:0000460,abnormal
XAO:0003031^BFO_XB:0000050(XAO:0000177),PATO:0000460,abnormal
XAO:0003030,PATO:0000574,decreased length
XAO:0003030,PATO:0000763,paralysed
XAO:0003030^BFO_XB:0000050(XAO:0004265),PATO:0000462,absent
XAO:0003031,PATO:0000763,paralysed
XAO:0003031^BFO_XB:0000050(XAO:0000169),PATO:0000461,normal
XAO:0003031^BFO_XB:0000050(XAO:0000170),PATO:0000461,normal
XAO:0003031^BFO_XB:0000050(XAO:0000172),PATO:0000461,normal
XAO:0003031^BFO_XB:0000050(XAO:0000177),PATO:0000460,abnormal
XAO:0003031^BFO_XB:0000050(XAO:0004263),PATO:0000461,normal
